url	verb	hash	graphname
https://search.idigbio.org/v2/search/records/?rq=%7B%22order%22%3A%22Phthiraptera%22%2c%22hasImage%22%3A%22true%22%7D&limit=10&offset=0	http://purl.org/pav/hasVersion	hash://sha256/43bd0fb72a8b39317e5d1e47be10c06e3aff80ec2fcdbb5cbc096ca32e010900	urn:uuid:3dd6851e-6be3-4211-8a88-777e1a8dbab7
https://search.idigbio.org/v2/view/mediarecords/c84ed0bd-51c6-4725-8d87-f18c4ab892d6	http://purl.org/pav/hasVersion	hash://sha256/09e8eb103f95fa4022b094329ca7378fcd31a49406f7001a0ed5f186c0dd85d5	urn:uuid:13cefc72-be75-4f96-a118-3240723b69cd
https://api.idigbio.org/v2/media/c84ed0bd-51c6-4725-8d87-f18c4ab892d6?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/04de6462b3c826e1e7e3a34af6f084ac547ee2990edd43dded59ee7d6e4f7ffe	urn:uuid:6db676da-187e-484e-a338-794ba07df070
https://api.idigbio.org/v2/media/c84ed0bd-51c6-4725-8d87-f18c4ab892d6?size=webview	http://purl.org/pav/hasVersion	hash://sha256/04de6462b3c826e1e7e3a34af6f084ac547ee2990edd43dded59ee7d6e4f7ffe	urn:uuid:f69ae601-c6b5-40c5-96d7-9ba8bf3e8ed8
https://api.idigbio.org/v2/media/c84ed0bd-51c6-4725-8d87-f18c4ab892d6?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/04de6462b3c826e1e7e3a34af6f084ac547ee2990edd43dded59ee7d6e4f7ffe	urn:uuid:c4a33918-e0a8-499c-846f-b59385eed13a
https://search.idigbio.org/v2/view/mediarecords/f2b8bb6f-be76-4a8c-a8cf-1a45863d9c42	http://purl.org/pav/hasVersion	hash://sha256/cb6bc94286d09d43e9fd018b30f0c05529b6228eef2e07aa24318e9369802e8b	urn:uuid:0fd13fdb-03f6-429d-b5ee-c0007e343820
https://api.idigbio.org/v2/media/f2b8bb6f-be76-4a8c-a8cf-1a45863d9c42?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/04de6462b3c826e1e7e3a34af6f084ac547ee2990edd43dded59ee7d6e4f7ffe	urn:uuid:21be4264-167d-4c71-8dc1-76563a2d683b
https://api.idigbio.org/v2/media/f2b8bb6f-be76-4a8c-a8cf-1a45863d9c42?size=webview	http://purl.org/pav/hasVersion	hash://sha256/04de6462b3c826e1e7e3a34af6f084ac547ee2990edd43dded59ee7d6e4f7ffe	urn:uuid:4200a794-7945-402b-8d1f-b9c8892082e3
https://api.idigbio.org/v2/media/f2b8bb6f-be76-4a8c-a8cf-1a45863d9c42?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/04de6462b3c826e1e7e3a34af6f084ac547ee2990edd43dded59ee7d6e4f7ffe	urn:uuid:2b0c1b14-1d71-4bd6-a56e-a89a0a793265
https://search.idigbio.org/v2/view/mediarecords/dcfcbed0-46d1-4593-84b2-8ca98a51a619	http://purl.org/pav/hasVersion	hash://sha256/3ccc3d3c5301e22edadb447fe61301f2fca2ec0301b00ed5d82d5c22e98fc2aa	urn:uuid:2e93b0d6-4397-4dd9-ac11-7598117b3fff
https://api.idigbio.org/v2/media/dcfcbed0-46d1-4593-84b2-8ca98a51a619?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/e4384a02ce0723b6d791bebf259c3c7f5940de0ba8ccdc0a1f171cc4ed948385	urn:uuid:bb89e5aa-e9dd-4a38-a4d4-91a75f407647
https://api.idigbio.org/v2/media/dcfcbed0-46d1-4593-84b2-8ca98a51a619?size=webview	http://purl.org/pav/hasVersion	hash://sha256/119ce1df76b45c6aacf7376057e476a5c72a2da6276ae49879d2da83ba098f97	urn:uuid:7d5510b0-bc9a-43f1-8fd0-a1790e2bcbe8
https://api.idigbio.org/v2/media/dcfcbed0-46d1-4593-84b2-8ca98a51a619?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/41c50ae866dd6cade0c312ea11cd4cb016c5ffc342b9fa53b5b19ad69740097d	urn:uuid:11030b48-0d5c-474f-8cec-22765957b97a
https://search.idigbio.org/v2/view/mediarecords/dcfcbed0-46d1-4593-84b2-8ca98a51a619	http://purl.org/pav/hasVersion	hash://sha256/3ccc3d3c5301e22edadb447fe61301f2fca2ec0301b00ed5d82d5c22e98fc2aa	urn:uuid:52f6b0eb-391c-40fb-9c45-c7d9f4df42c3
https://api.idigbio.org/v2/media/dcfcbed0-46d1-4593-84b2-8ca98a51a619?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/e4384a02ce0723b6d791bebf259c3c7f5940de0ba8ccdc0a1f171cc4ed948385	urn:uuid:a58cfe7e-7c12-4d7c-9d63-774a1122fba7
https://api.idigbio.org/v2/media/dcfcbed0-46d1-4593-84b2-8ca98a51a619?size=webview	http://purl.org/pav/hasVersion	hash://sha256/119ce1df76b45c6aacf7376057e476a5c72a2da6276ae49879d2da83ba098f97	urn:uuid:0e11a107-bb84-40a0-8081-9f54b159c8c2
https://api.idigbio.org/v2/media/dcfcbed0-46d1-4593-84b2-8ca98a51a619?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/41c50ae866dd6cade0c312ea11cd4cb016c5ffc342b9fa53b5b19ad69740097d	urn:uuid:476e1186-d093-4103-a6e8-d3244c0bd0a4
https://search.idigbio.org/v2/view/mediarecords/3bae05fe-07ca-4cec-ac22-4b3f28064a5d	http://purl.org/pav/hasVersion	hash://sha256/6edfe41447ab6439db514cfaa30433809646f08761e9bc2a1aacd7c57a71d3bd	urn:uuid:0bd5f57d-a8c6-4bab-8d64-7a1c280b129c
https://api.idigbio.org/v2/media/3bae05fe-07ca-4cec-ac22-4b3f28064a5d?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/04de6462b3c826e1e7e3a34af6f084ac547ee2990edd43dded59ee7d6e4f7ffe	urn:uuid:21c4b680-a764-494b-bef6-328701e0a209
https://api.idigbio.org/v2/media/3bae05fe-07ca-4cec-ac22-4b3f28064a5d?size=webview	http://purl.org/pav/hasVersion	hash://sha256/04de6462b3c826e1e7e3a34af6f084ac547ee2990edd43dded59ee7d6e4f7ffe	urn:uuid:d054651e-f116-488b-a91e-785487311408
https://api.idigbio.org/v2/media/3bae05fe-07ca-4cec-ac22-4b3f28064a5d?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/04de6462b3c826e1e7e3a34af6f084ac547ee2990edd43dded59ee7d6e4f7ffe	urn:uuid:0ade1414-c87a-4955-8bbb-515834627ac0
https://search.idigbio.org/v2/view/mediarecords/43180f7e-0bda-4b8f-913c-cf16aa66abd6	http://purl.org/pav/hasVersion	hash://sha256/2b82899f14792a45d9bf7ffa33bfdf0322a4c3bc49e16945466432de3340d900	urn:uuid:ba5d4ad1-32e4-452c-be1e-ca2bed1c4203
https://api.idigbio.org/v2/media/43180f7e-0bda-4b8f-913c-cf16aa66abd6?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/04de6462b3c826e1e7e3a34af6f084ac547ee2990edd43dded59ee7d6e4f7ffe	urn:uuid:9f1363e0-3e15-4b17-97da-db8505cdd5f9
https://api.idigbio.org/v2/media/43180f7e-0bda-4b8f-913c-cf16aa66abd6?size=webview	http://purl.org/pav/hasVersion	hash://sha256/04de6462b3c826e1e7e3a34af6f084ac547ee2990edd43dded59ee7d6e4f7ffe	urn:uuid:f1ad61ee-252b-4c9f-bfe0-042b0945104c
https://api.idigbio.org/v2/media/43180f7e-0bda-4b8f-913c-cf16aa66abd6?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/04de6462b3c826e1e7e3a34af6f084ac547ee2990edd43dded59ee7d6e4f7ffe	urn:uuid:7a439d89-8969-41e1-a88a-620d934a2c8e
https://search.idigbio.org/v2/view/mediarecords/b12de780-e0fd-423a-8fbb-f78b256dc4d4	http://purl.org/pav/hasVersion	hash://sha256/eac05d4ead99bf6fd7748538aa3909800081b743b524ece6408087d8fae9539f	urn:uuid:aaddc347-454b-4e77-88b7-030b8e10c0b9
https://api.idigbio.org/v2/media/b12de780-e0fd-423a-8fbb-f78b256dc4d4?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/504d162f033ba6f18f61fb35f308f7c9d1dd661d865a2a19310ae3e00a5be31a	urn:uuid:91f8322f-82dc-4479-a13a-5c431ae0a135
https://api.idigbio.org/v2/media/b12de780-e0fd-423a-8fbb-f78b256dc4d4?size=webview	http://purl.org/pav/hasVersion	hash://sha256/d4f8e0aa65ddc725e9d6c1de4f96b5c2f95d5d8f29e28b3f4cb319b3f09ab2f5	urn:uuid:dc9a357e-69fd-4e0b-8e0f-8366be11a8bb
https://api.idigbio.org/v2/media/b12de780-e0fd-423a-8fbb-f78b256dc4d4?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/8594f3fdc07f3ce86086546faba9b379db92fbfce4ca8ac1b68496b261311382	urn:uuid:c6000ead-d1e8-494e-86c5-e6240ab5e605
https://search.idigbio.org/v2/view/mediarecords/0978f3d8-9195-4722-b0da-cf4dead0a74f	http://purl.org/pav/hasVersion	hash://sha256/3b6285c8cef0c5ece6ac8feec6b20f6410b493d19e12ef15a95bbeabda51894b	urn:uuid:6637306e-210a-4402-b556-16225eb43332
https://api.idigbio.org/v2/media/0978f3d8-9195-4722-b0da-cf4dead0a74f?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/f9d544fbdd8f83f9c43dfc6aa3479324f9a9ffa2e47cafdaca32fcd38d168ab3	urn:uuid:fc3282ed-22d8-4c8c-9f35-a815cbf51b80
https://api.idigbio.org/v2/media/0978f3d8-9195-4722-b0da-cf4dead0a74f?size=webview	http://purl.org/pav/hasVersion	hash://sha256/8222814ea2a4a3988f77939ef561edc83884084283d1585dc27b22c0340e041e	urn:uuid:71832771-4ed4-475a-acce-8df044ceee30
https://api.idigbio.org/v2/media/0978f3d8-9195-4722-b0da-cf4dead0a74f?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/8b9ad0ed17c2dac1e5dadfa419e128866d763c2e392bb1f7c3aa4c0104c56f95	urn:uuid:d9bfd3f2-8555-4452-9289-e50fe05635da
